UpdateTime,UpdateInterval,AuthorityCode,VDID,SubAuthorityCode,BiDirectional,LinkID,Bearing,RoadDirection,LaneNum,ActualLaneNum,VDType,LocationType,DetectionType,PositionLon,PositionLat,RoadID,RoadName,RoadClass,Start,End,LocationMile
2025-08-11T14:05:27+08:00,86400,NFB,VD-N1-S-0.000-M-RS,NFB-NR,0,0000101001030C,SW,S,2,2,1,5,1,121.7357825,25.123084,000010,國道1號,0,基隆端,基隆交流道,0K+000
2025-08-11T14:05:27+08:00,86400,NFB,VD-N1-S-0.700-M-LOOP,NFB-NR,0,0000100000040C,SW,S,2,2,1,5,1,121.7305891,25.1177526,000010,國道1號,0,基隆端,基隆交流道,0K+700
2025-08-11T14:05:27+08:00,86400,NFB,VD-N1-S-0.990-N-LOOP,NFB-NR,0,0000100000080C,SW,S,2,2,1,5,1,121.7287269,25.1157288,000010,國道1號,0,基隆端,基隆交流道,0K+990
2025-08-11T14:05:27+08:00,86400,NFB,VD-N1-S-1-I-WS-1B-基隆-匝道,NFB-NR,0,0000101002020C,S,S,1,1,1,5,2,121.7270831,25.1152446,000010,國道1號,0,基隆交流道,八堵交流道,1K+100
2025-08-11T14:05:27+08:00,86400,NFB,VD-N1-S-1-I-ES-1A-基隆-環道,NFB-NR,0,0000101002010C,E,S,1,1,1,5,2,121.7274309,25.1157328,000010,國道1號,0,基隆交流道,八堵交流道,1K+100
2025-08-11T14:05:27+08:00,86400,NFB,VD-N1-S-1-O-NW-1-基隆,NFB-NR,0,0000101002000C,SW,S,1,1,1,5,2,121.7289982,25.1164026,000010,國道1號,0,基隆交流道,八堵交流道,1K+100
2025-08-11T14:05:27+08:00,86400,NFB,VD-N1-S-1.740-M-LOOP,NFB-NR,0,0000100000130C,S,S,2,2,1,5,1,121.7258665,25.1094273,000010,國道1號,0,基隆交流道,八堵交流道,1K+740
2025-08-11T14:05:27+08:00,86400,NFB,VD-N1-S-1.950-M-RS,NFB-NR,0,0000100000130C,S,S,2,2,2,1,1,121.7252769,25.1079742,000010,國道1號,0,基隆交流道,八堵交流道,1K+950
2025-08-11T14:05:27+08:00,86400,NFB,VD-N1-S-2.450-N-LOOP,NFB-NR,0,0000101003020C,W,S,2,2,1,5,1,121.7225669,25.1041679,000010,國道1號,0,基隆交流道,八堵交流道,2K+450
2025-08-11T14:05:27+08:00,86400,NFB,VD-N1-S-2-I-ES-1-水源路-八堵,NFB-NR,0,0000101103000C,E,S,1,1,1,5,2,121.7282979,25.1046699,000010,國道1號,0,八堵交流道,大華系統交流道,2K+600
